iter	Passed	Remaining
457	819	969
458	821	968
459	823	966
460	825	965
461	827	963
462	829	961
463	830	959
464	832	957
465	833	955
466	835	953
467	837	951
468	839	950
469	841	948
470	842	946
471	844	944
472	845	942
473	847	940
474	849	938
475	851	937
476	853	935
477	855	934
478	857	932
479	858	930
480	860	927
481	861	925
482	862	923
483	864	921
484	866	919
485	868	918
486	870	916
487	871	914
488	873	912
489	874	910
490	876	908
491	877	906
492	879	904
493	880	902
494	883	900
495	884	899
496	886	897
497	888	895
498	889	893
499	891	891
500	892	889
501	894	887
502	895	884
503	897	883
504	899	881
505	900	879
506	902	877
507	903	875
508	904	872
509	906	870
510	907	868
511	909	867
512	912	866
513	914	864
514	916	862
515	917	860
516	919	858
517	920	856
518	922	854
519	923	852
520	925	851
521	927	849
522	929	847
523	930	845
524	932	843
525	933	841
526	934	838
527	935	836
528	937	834
529	939	833
530	940	830
531	943	829
532	944	827
533	946	825
534	948	824
535	949	822
536	951	820
537	952	818
538	954	815
539	955	813
540	958	812
541	959	811
542	961	809
543	963	807
544	964	805
545	966	803
546	967	801
547	969	799
548	971	798
549	973	796
550	975	795
551	977	793
552	978	791
553	979	788
554	981	786
555	982	784
556	983	782
557	985	780
558	987	778
559	988	776
560	989	774
561	991	772
562	993	770
563	994	768
564	996	767
565	997	764
566	999	763
567	1001	761
568	1003	760
569	1005	758
570	1006	756
571	1008	754
572	1009	752
573	1011	750
574	1012	748
575	1014	746
576	1016	744
577	1017	743
578	1019	741
579	1020	739
580	1022	737
581	1023	735
582	1025	733
583	1026	731
584	1027	729
585	1029	727
586	1030	725
587	1032	723
588	1034	721
589	1035	719
590	1037	717
591	1038	715
592	1040	714
593	1041	712
594	1043	710
595	1045	708
596	1047	707
597	1049	705
598	1051	704
599	1053	702
600	1054	700
601	1056	698
602	1057	696
603	1059	694
604	1061	692
605	1062	690
606	1064	689
607	1065	687
608	1067	685
609	1068	683
610	1070	681
611	1071	679
612	1072	677
613	1074	675
614	1076	673
615	1077	671
616	1079	670
617	1081	668
618	1082	666
619	1083	664
620	1085	662
621	1086	660
622	1088	658
623	1090	656
624	1092	655
625	1094	653
626	1096	652
627	1097	650
628	1098	647
629	1099	645
630	1100	643
631	1101	641
632	1102	639
633	1104	637
634	1105	635
635	1106	633
636	1107	631
637	1108	629
638	1110	627
639	1111	625
640	1112	623
641	1113	620
642	1114	618
643	1115	616
644	1116	614
645	1117	612
646	1119	610
647	1120	608
648	1122	606
649	1123	604
650	1124	602
651	1125	600
652	1126	598
653	1127	596
654	1129	594
655	1130	592
656	1132	591
657	1133	589
658	1135	587
659	1137	585
660	1138	584
661	1140	582
662	1141	580
663	1143	578
664	1144	576
665	1146	574
666	1148	573
667	1149	571
668	1151	569
669	1153	568
670	1154	566
671	1155	564
672	1157	562
673	1158	560
674	1160	558
675	1161	556
676	1163	554
677	1164	553
678	1166	551
679	1168	549
680	1169	547
681	1170	545
682	1172	544
683	1173	542
684	1174	540
685	1175	538
686	1176	536
687	1178	534
688	1180	533
689	1182	531
690	1184	529
691	1185	527
692	1187	526
693	1188	524
694	1190	522
695	1191	520
696	1192	518
697	1194	516
698	1196	515
699	1198	513
700	1199	511
701	1201	509
702	1202	508
703	1204	506
704	1205	504
705	1206	502
706	1209	501
707	1211	499
708	1213	497
709	1215	496
710	1217	494
711	1218	492
712	1220	491
713	1221	489
714	1222	487
715	1224	485
716	1226	484
717	1228	482
718	1229	480
719	1230	478
720	1232	476
721	1234	475
722	1235	473
723	1237	471
724	1238	469
725	1240	468
726	1242	466
727	1243	464
728	1244	462
729	1246	460
730	1247	459
731	1249	457
732	1250	455
733	1251	453
734	1252	451
735	1254	449
736	1256	448
737	1257	446
738	1258	444
739	1260	442
740	1261	440
741	1262	439
742	1264	437
743	1265	435
744	1266	433
745	1267	431
746	1270	430
747	1271	428
748	1273	426
749	1274	424
750	1275	422
751	1277	421
752	1278	419
753	1279	417
754	1281	415
755	1282	413
756	1284	412
757	1286	410
758	1287	408
759	1288	406
760	1289	405
761	1290	403
762	1292	401
763	1293	399
764	1294	397
765	1295	395
766	1297	394
767	1298	392
768	1300	390
769	1301	388
770	1302	386
771	1303	385
772	1305	383
773	1306	381
774	1307	379
775	1308	377
776	1310	376
777	1312	374
778	1314	372
779	1316	371
780	1317	369
781	1319	367
782	1321	366
783	1322	364
784	1323	362
785	1325	360
786	1326	358
787	1327	357
788	1329	355
789	1331	353
790	1332	352
791	1333	350
792	1334	348
793	1335	346
794	1336	344
795	1338	342
796	1339	341
797	1340	339
798	1341	337
799	1342	335
800	1344	334
801	1346	332
802	1347	330
803	1348	328
804	1349	326
805	1351	325
806	1352	323
807	1353	321
808	1354	319
809	1355	318
810	1356	316
811	1358	314
812	1360	312
813	1361	311
814	1363	309
815	1364	307
816	1366	305
817	1367	304
818	1368	302
819	1369	300
820	1371	298
