iter	Passed	Remaining
485	565	598
486	566	597
487	567	595
488	568	593
489	569	592
490	570	591
491	571	590
492	572	589
493	574	587
494	575	586
495	575	585
496	577	583
497	577	582
498	578	581
499	579	579
500	580	578
501	581	576
502	582	575
503	582	573
504	584	572
505	585	571
506	586	570
507	587	569
508	588	568
509	590	566
510	591	565
511	592	564
512	593	563
513	594	561
514	595	560
515	596	559
516	597	558
517	598	556
518	599	555
519	600	554
520	601	553
521	602	551
522	603	550
523	604	549
524	605	547
525	606	546
526	607	545
527	608	543
528	609	542
529	610	541
530	611	540
531	612	538
532	613	537
533	614	535
534	614	534
535	615	533
536	617	532
537	617	530
538	618	529
539	619	528
540	620	526
541	621	525
542	622	524
543	623	522
544	624	521
545	625	520
546	626	519
547	627	517
548	628	516
549	629	515
550	631	514
551	632	513
552	633	511
553	634	510
554	635	509
555	636	508
556	637	506
557	638	505
558	639	504
559	640	503
560	641	502
561	642	500
562	643	499
563	644	498
564	645	496
565	646	495
566	647	494
567	648	493
568	649	491
569	650	490
570	651	489
571	652	488
572	653	486
573	654	485
574	655	484
575	656	483
576	658	482
577	659	481
578	660	480
579	662	479
580	663	478
581	664	477
582	665	476
583	667	475
584	668	474
585	669	472
586	670	471
587	671	470
588	672	469
589	673	467
590	674	466
591	675	465
592	676	464
593	678	463
594	680	462
595	680	461
596	681	460
597	682	459
598	684	457
599	684	456
600	685	455
601	686	454
602	687	452
603	688	451
604	689	450
605	690	449
606	691	447
607	692	446
608	694	445
609	694	444
610	695	443
611	697	441
612	699	441
613	700	440
614	701	439
615	702	438
616	703	436
617	704	435
618	705	434
619	706	433
620	707	432
621	709	431
622	710	430
623	711	428
624	712	427
625	714	426
626	715	425
627	716	424
628	717	423
629	718	421
630	719	420
631	720	419
632	721	418
633	722	417
634	723	416
635	724	414
636	725	413
637	726	412
638	727	410
639	728	409
640	729	408
641	730	407
642	731	405
643	731	404
644	732	403
645	733	402
646	734	400
647	735	399
648	736	398
649	738	397
650	739	396
651	740	395
652	741	394
653	743	393
654	744	391
655	745	390
656	746	389
657	746	388
658	747	387
659	748	385
660	749	384
661	750	383
662	752	382
663	753	381
664	754	380
665	756	379
666	757	378
667	758	376
668	759	375
669	760	374
670	761	373
671	762	372
672	763	370
673	764	369
674	765	368
675	766	367
676	767	366
677	768	365
678	770	364
679	771	362
680	772	361
681	773	360
682	774	359
683	774	358
684	775	356
685	776	355
686	777	354
687	778	353
688	779	351
689	780	350
690	781	349
691	782	348
692	783	347
693	785	346
694	786	345
695	787	343
696	788	342
697	789	341
698	790	340
699	791	339
700	792	338
701	794	337
702	794	335
703	795	334
704	796	333
705	798	332
706	799	331
707	801	330
708	801	329
709	802	327
710	803	326
711	804	325
712	805	324
713	806	323
714	807	321
715	808	320
716	809	319
717	810	318
718	812	317
719	813	316
720	814	315
721	815	314
722	816	312
723	817	311
724	818	310
725	819	309
726	820	308
727	821	307
728	822	305
729	823	304
730	824	303
731	825	302
732	826	301
733	827	299
734	828	298
735	829	297
736	830	296
737	831	295
738	832	294
739	833	292
740	834	291
741	835	290
742	836	289
743	837	288
744	838	286
745	839	285
746	840	284
747	842	283
748	843	282
749	844	281
750	846	280
751	847	279
752	848	278
753	849	277
754	850	275
755	851	274
756	852	273
757	853	272
758	853	271
759	854	269
760	855	268
761	857	267
762	858	266
763	859	265
764	860	264
765	861	263
766	862	262
767	863	260
768	864	259
769	865	258
770	866	257
771	867	256
772	868	254
773	869	253
774	870	252
775	871	251
776	872	250
777	873	249
778	873	247
779	874	246
780	875	245
781	876	244
782	877	243
783	879	242
784	880	241
785	881	240
786	882	238
787	883	237
788	884	236
789	885	235
790	886	234
791	887	233
792	888	231
793	889	230
794	890	229
795	891	228
796	892	227
797	893	226
798	894	225
799	895	223
800	896	222
801	897	221
802	898	220
803	900	219
804	901	218
805	902	217
806	903	216
807	905	215
808	906	214
809	907	212
810	909	211
811	910	210
812	912	209
813	913	208
814	914	207
815	915	206
816	916	205
817	918	204
818	919	203
819	920	202
820	922	201
821	923	200
822	924	198
823	926	197
824	927	196
825	928	195
826	929	194
827	930	193
828	931	192
829	933	191
830	934	189
831	935	188
832	936	187
833	937	186
834	938	185
835	940	184
836	941	183
837	943	182
838	944	181
839	947	180
840	949	179
841	950	178
842	952	177
843	953	176
844	954	175
845	955	173
846	956	172
847	957	171
848	959	170
849	960	169
850	961	168
851	963	167
852	964	166
853	966	165
854	967	164
855	969	163
856	970	161
857	971	160
858	972	159
859	974	158
860	975	157
861	977	156
862	978	155
863	980	154
864	981	153
865	982	152
866	984	151
867	985	149
868	987	148
869	988	147
870	989	146
871	991	145
872	992	144
873	994	143
874	995	142
875	997	141
876	998	140
877	999	138
878	1000	137
879	1002	136
880	1003	135
881	1004	134
882	1006	133
883	1008	132
884	1010	131
885	1011	130
886	1013	129
887	1014	127
888	1016	126
889	1017	125
890	1019	124
891	1020	123
892	1021	122
893	1023	121
894	1024	120
895	1026	119
896	1027	118
897	1028	116
898	1030	115
899	1031	114
900	1032	113
901	1033	112
902	1034	111
903	1035	109
904	1036	108
905	1037	107
906	1039	106
907	1041	105
908	1043	104
909	1044	103
910	1045	102
911	1046	101
912	1048	99
913	1049	98
914	1050	97
915	1051	96
916	1053	95
917	1055	94
918	1057	93
919	1059	92
920	1060	90
921	1061	89
922	1063	88
923	1064	87
924	1066	86
925	1067	85
926	1069	84
927	1070	83
928	1072	81
929	1073	80
930	1074	79
931	1075	78
932	1076	77
933	1077	76
934	1078	74
935	1079	73
936	1080	72
937	1081	71
938	1083	70
939	1084	69
940	1085	68
941	1086	66
942	1087	65
943	1089	64
944	1090	63
945	1091	62
946	1092	61
947	1093	59
948	1093	58
949	1095	57
950	1096	56
951	1097	55
952	1098	54
953	1100	53
954	1101	51
955	1102	50
956	1103	49
957	1104	48
958	1105	47
959	1106	46
960	1107	44
961	1108	43
962	1109	42
963	1110	41
964	1111	40
965	1112	39
966	1113	37
967	1114	36
968	1115	35
969	1116	34
970	1117	33
971	1119	32
972	1120	31
973	1121	29
974	1122	28
975	1123	27
976	1124	26
977	1125	25
978	1126	24
979	1127	23
980	1127	21
981	1128	20
982	1129	19
983	1130	18
984	1131	17
985	1132	16
986	1133	14
987	1134	13
988	1136	12
989	1137	11
990	1138	10
991	1139	9
992	1140	8
993	1141	6
994	1142	5
995	1144	4
996	1145	3
997	1146	2
998	1147	1
999	1148	0
